m,comparisons,mean_distance,population_stdev,independent_uniform_reference,minimum,maximum
6,384,0.8270399305555555,0.124913880622681,0.8333333333333334,0.25,1.0
8,384,0.8697916666666666,0.08823476221925737,0.875,0.625,1.0
10,384,0.8936197916666666,0.07407183467164333,0.9,0.6,1.0
